,type,country,sex_,species_,fatal_(y/n),date,new_sex,new_type,year,age,new_age
381,,australia,M,unspecified,,27-Jul-2015,M,Unprovoked,2015.0,40.0,40.0
382,Unprovoked,usa,M,unspecified,N,26-Jul-2015,M,Unprovoked,2015.0,25.0,25.0
383,Invalid,usa,F,unspecified,,26-Jul-2015,F,Invalid,2015.0,35.0,35.0
384,Unprovoked,australia,M,white_shark,Y,25-Jul-2015,M,Unprovoked,2015.0,46.0,46.0
385,Provoked,usa,M,unspecified,N,23-Jul-2015,M,Provoked,2015.0,31.0,31.0
386,Unprovoked,australia,M,unspecified,N,23-Jul-2015,M,Unprovoked,2015.0,40.0,40.0
387,Unprovoked,reunion,M,unspecified,N,22-Jul-2015,M,Unprovoked,2015.0,45.0,45.0
388,Unprovoked,south africa,M,white_shark,N,19-Jul-2015,M,Unprovoked,2015.0,34.0,34.0
389,Unprovoked,usa,M,white_shark,N,10-Jul-2015,M,Unprovoked,2015.0,38.0,38.0
390,Invalid,usa,M,unspecified,,08-Jul-2015,M,Invalid,2015.0,39.0,39.0
391,Invalid,french polynesia,M,unspecified,,06-Jul-2015,M,Invalid,2015.0,27.6,27.32915451895044
392,Unprovoked,bahamas,F,unspecified,N,04-Jul-2015,F,Unprovoked,2015.0,23.0,23.0
393,Unprovoked,usa,M,unspecified,N,04-Jul-2015,M,Unprovoked,2015.0,32.0,32.0
394,Unprovoked,australia,M,white_shark,N,03-Jul-2015,M,Unprovoked,2015.0,52.0,52.0
395,Unprovoked,australia,M,white_shark,N,02-Jul-2015,M,Unprovoked,2015.0,32.0,32.0
396,Unprovoked,usa,M,unspecified,N,01-Jul-2015,M,Unprovoked,2015.0,68.0,68.0
397,Unprovoked,australia,M,unspecified,N,30-Jun-2015,M,Unprovoked,2015.0,27.6,27.32915451895044
398,Unprovoked,usa,M,unspecified,N,30-Jun-2015,M,Unprovoked,2015.0,12.0,12.0
