,year,type,country,sex_,age,species_,fatal_(y/n),date
5120,1927,Unprovoked,australia,M,,unspecified,N,09-Feb-1927
5121,1927,Provoked,new zealand,M,70,unspecified,N,Feb-1927
5122,1927,Unprovoked,south africa,M,,unspecified,N,20-Jan-1927
5123,1927,Unprovoked,usa,M,,unspecified,N,Reported 08-Jan-1927
5124,1927,Unprovoked,australia,M,15,unspecified,Y,03-Jan-1927
5125,1927,Unprovoked,australia,M,10,unspecified,Y,1927
5126,1927,Unprovoked,australia,M,,unspecified,N,1927
5127,1926,Unprovoked,australia,M,,unspecified,Y,Reported 02-Dec-1926
5128,1926,Unprovoked,australia,M,,unspecified,N,17-Nov-1926
5129,1926,Unprovoked,papua new guinea,M,,unspecified,Y,Reported 29-Oct-1926
5130,1926,Unprovoked,australia,M,17,grey_shark,N,23-Oct-1926
5131,1926,Sea Disaster,bermuda,,,unspecified,N,23-Oct-1926
5132,1926,Unprovoked,papua new guinea,M,,unspecified,Y,Reported 06-Sep-1926
5133,1926,Unprovoked,usa,M,18,unspecified,Y,24-Aug-1926
5134,1926,Unprovoked,italy,M,20,white_shark,Y,23-Jul-1926
5135,1926,Boating,usa,M,,unspecified,N,12-Jul-1926
5136,1926,Unprovoked,usa,M,15,white_shark,N,08-Jul-1926
5137,1926,Invalid,spain,M,,unspecified,,03-Jul-1926
5138,1926,Unprovoked,usa,M,,white_shark,Y,18-May-1926
5139,1926,Unprovoked,south atlantic ocean,M,26,unspecified,N,22-Apr-1926
5140,1926,Unprovoked,usa,F,,unspecified,N,07-Apr-1926
5141,1926,Unprovoked,australia,F,,white_shark,Y,17-Mar-1926
5142,1926,Unprovoked,south africa,M,,unspecified,N,26-Jan-1926
5143,1926,Unprovoked,australia,M,,unspecified,N,Jan-1926
5144,1926,Unprovoked,monaco,M,,unspecified,Y,Summer of 1926
5145,1926,Provoked,new zealand,M,,unspecified,N,1926
5146,1926,Unprovoked,singapore,F,,unspecified,Y,1926
5147,1926,Unprovoked,south africa,M,,unspecified,UNKNOWN,1926
5148,1925,Unprovoked,australia,M,55,tiger_shark,Y,22-Nov-1925
5149,1925,Unprovoked,usa,F,,unspecified,N,Nov-1925
5150,1925,Unprovoked,usa,M,,unspecified,N,Nov-1925
5151,1925,Provoked,spain,M,,unspecified,N,04-Sep-1925
5152,1925,Unprovoked,england,M,,unspecified,N,03-Sep-1925
5153,1925,Unprovoked,usa,F,,unspecified,N,02-Aug-1925
5154,1925,Invalid,australia,,,unspecified,,15-Jun-1925
5155,1925,Unprovoked,usa,M,,unspecified,N,May 1925
5156,1925,Unprovoked,australia,M,16,unspecified,N,07-Mar-1925 or 27-Mar-1925
5157,1925,Unprovoked,australia,M,16,unspecified,Y,12-Mar-1925
5158,1925,Unprovoked,papua new guinea,M,,unspecified,Y,10-Mar-1925
5159,1925,Unprovoked,usa,M,,unspecified,N,Reported 27-Jan-1925
5160,1925,Unprovoked,canada,M,,unspecified,N,08-Jan-1925
5161,1925,Unprovoked,fiji,M,,unspecified,N,1925
5162,1924,Unprovoked,mexico,F,,unspecified,Y,25-Nov-1924
5163,1924,Unprovoked,panama,M,35,unspecified,N,24-Nov-1924
5164,1924,Unprovoked,usa,M,35,unspecified,Y,21-Nov-1924
5165,1924,Provoked,french polynesia,M,,unspecified,N,Reported 31-Oct-1924
5166,1924,Unprovoked,australia,M,,unspecified,N,18-Oct-1924
5167,1924,Unprovoked,usa,M,,unspecified,N,31-Jul-1924
5168,1924,Provoked,england,M,,unspecified,N,14-Jul-1924
5169,1924,Boating,usa,M,14,unspecified,N,04-Jul-1924
5170,1924,Provoked,usa,M,,unspecified,N,18-Jun-1924
5171,1924,Unprovoked,australia,M,20,unspecified,Y,25-Apr-1924
5172,1924,Unprovoked,panama,M,21,unspecified,N,22-Apr-1924
5173,1924,Invalid,australia,M,,unspecified,,20-Apr-1924
5174,1924,Unprovoked,solomon islands,M,,unspecified,N,Reported 28-Mar-1924
5175,1924,Boating,spain,,,unspecified,N,24-Mar-1924
5176,1924,Unprovoked,australia,F,30,unspecified,N,13-Feb-1924
5177,1924,Invalid,australia,M,,unspecified,,08-Feb-1924
5178,1924,Unprovoked,south africa,M,22,unspecified,Y,29-Jan-1924
5179,1924,Unprovoked,south africa,M,,unspecified,N,25-Jan-1924
5180,1924,Unprovoked,australia,M,16,unspecified,Y,09-Jan-1924
5181,1923,Unprovoked,australia,M,,unspecified,N,12-Dec-1923
5182,1923,Unprovoked,australia,M,,unspecified,Y,02-Dec-1923
5183,1923,Unprovoked,australia,M,,unspecified,Y,23-Nov-1923
5184,1923,Invalid,australia,M,,unspecified,,02-Nov-1923
5185,1923,Invalid,australia,M,,unspecified,,20-Oct-1923
5186,1923,Boating,australia,,,unspecified,N,17-Oct-1923
5187,1923,Unprovoked,australia,M,,unspecified,N,16-Oct-1923
5188,1923,Unprovoked,guyana,M,,unspecified,N,08-Aug-1923
5189,1923,Unprovoked,australia,M,,unspecified,N,Reported 02-Jul-1923
5190,1923,Boating,australia,M,,unspecified,Y,16-Jun-1923
5191,1923,Boating,mexico,,,unspecified,N,06-Jun-1923
5192,1923,Unprovoked,australia,M,,unspecified,N,Reported 23-May-1923
5193,1923,Unprovoked,australia,M,,unspecified,Y,22-May-1923
5194,1923,Unprovoked,australia,M,,unspecified,N,18-Mar-1923
5195,1923,Unprovoked,usa,M,25,unspecified,N,Feb-1923
5196,1923,Invalid,australia,M,,unspecified,,27-Jan-1923
5197,1923,Unprovoked,australia,M,13,unspecified,Y,27-Jan-1923
5198,1923,Invalid,cuba,M,,unspecified,,14-Jan-1923
5199,1923,Boating,usa,M,,unspecified,N,1923
5200,1923,Unprovoked,philippines,M,,unspecified,Y,1923-1924
5201,1923,Provoked,usa,M,,unspecified,N,1923
5202,1922,Unprovoked,usa,F,,unspecified,Y,14-Dec-1922
5203,1922,Unprovoked,australia,M,19,unspecified,Y,05-Dec-1922
5204,1922,Unprovoked,barbados,M,16,unspecified,Y,29-Sep-1922
5205,1922,Invalid,australia,M,,unspecified,,29-Oct-1922
5206,1922,Unprovoked,usa,M,,unspecified,N,28-Sep-1922
5207,1922,Unprovoked,england,M,,unspecified,Y,Reported 26-Sep-1922
5208,1922,Boating,usa,,,unspecified,N,Reported 21-Sep-1922
5209,1922,Unprovoked,usa,M,,unspecified,N,19-Jul-1922
5210,1922,Unprovoked,usa,F,18,unspecified,Y,17-Jun-1922
