,year,type,country,sex_,age,species_,fatal_(y/n),date
1456,2006,Unprovoked,usa,M,11,,N,09-Jul-2006.
1457,2006,Unprovoked,usa,F,14,5' to 6' spinner or bull shark,N,08-Jul-2006
1458,2006,Unprovoked,usa,M,13,,N,08-Jul-2006
1459,2006,Unprovoked,usa,F,28,"1.8 m blacktip ""reef"" shark",N,July 2006
1460,2006,Unprovoked,usa,M,35,"1.8 m blacktip ""reef"" shark",N,July 2006
1461,2006,Unprovoked,usa,F,9,,N,27-Jun-2006
1462,2006,Provoked,usa,M,,,N,26-Jun-2006
1463,2006,Unprovoked,bahamas,M,25,,N,24-Jun-2006
1464,2006,Unprovoked,usa,F,22,Possibly a 1' to 3' blacktip or spinner shark,N,20-Jun-2006
1465,2006,Unprovoked,brazil,M,27,,Y,18-Jun-2006
1466,2006,Unprovoked,usa,M,43,,N,17-Jun-2006
1467,2006,Unprovoked,usa,M,24,2' to 3' shark,N,15-Jun-2006
1468,2006,Unprovoked,usa,F,7,3' to 4' shark,N,07-Jun-2006
1469,2006,Unprovoked,australia,M,40,14' white shark,N,05-Jun-2006
1470,2006,Unprovoked,usa,M,26,"Tiger shark, 8' to 12'",N,31-May-2006
1471,2006,Provoked,usa,,,"Tiger shark, 15' female",N,28-May-2006
1472,2006,Unprovoked,usa,M,31,,N,27-May-2006
1473,2006,Provoked,usa,M,15,"Grey reef shark, 5' to 8' ",N,24-May-2006
1474,2006,Unprovoked,brazil,M,33,,N,21-May-2006
1475,2006,Unprovoked,usa,F,30s,"Tiger shark, 10' to 12'",N,19-May-2006
1476,2006,Unprovoked,usa,M,,,N,05-May-2006
1477,2006,Unprovoked,usa,F,20s,,N,04-May-2006
1478,2006,Provoked,australia,M,46,"Wobbegong shark, 2 m ",N,02-May-2006
1479,2006,Invalid,usa,M,,Invalid,,Reported      23-Apr-2006
1480,2006,Unprovoked,usa,M,54,,N,21-Apr-2006
1481,2006,Unprovoked,usa,F,13,,N,19-Apr-2006
1482,2006,Provoked,usa,M,35,"Bull shark, 4' to bull shark",N,13-Apr-2006
1483,2006,Unprovoked,australia,M,15,"Bronze whaler shark, a  juvenile ",N,11-Apr-2006
1484,2006,Unprovoked,south africa,M,15,"Raggedtooth shark, 2.5 m to 3 m ",N,09-Apr-2006
1485,2006,Unprovoked,brazil,M,35,Tiger shark,N,09-Apr-2006
1486,2006,Unprovoked,usa,M,11,,N,03-Apr-2006
1487,2006,Unprovoked,sierra leone,M,,"3 m, 600-kg shark",Y,Reported  28-Mar-2006
1488,2006,Unprovoked,usa,F,28,"Tiger shark, 10'  ",N,23-Mar-2006
1489,2006,Invalid,south africa,M,17,Shark involvement prior to death was not confirmed,,22-Mar-2006
1490,2006,Unprovoked,fiji,M,21,"Tiger shark, 5' ",N,18-Mar-2006
1491,2006,Unprovoked,australia,M,15,"Bronze whaler shark, 2 m",N,15-Mar-2006
1492,2006,Unprovoked,usa,F,15,5' to 7' shark,N,27-Feb-2006
1493,2006,Invalid,usa,M,45,Invalid,,23-Feb-2006
1494,2006,Unprovoked,australia,M,18,,N,13-Feb-2006
1495,2006,Unprovoked,australia,M,,,N,12-Feb-2006
1496,2006,Boating,australia,M,,4.5 m white shark,N,12-Feb-2006
1497,2006,Unprovoked,south africa,M,15,Raggedtooth shark,N,08-Feb-2006
1498,2006,Unprovoked,tonga,F,24,Tiger shark,Y,01-Feb-2006
1499,2006,Boating,usa,M,57,12' to 18' shark,N,01-Feb-2006
1500,2006,Boating,atlantic ocean,M,46 & 34,12' shark,N,Reported 28-Jan-2006
1501,2006,Unprovoked,south africa,M,34,,N,25-Jan-2006
1502,2006,Boating,atlantic ocean,F,"28, 23 & 30",,N,23-Jan-2006
1503,2006,Unprovoked,usa,M,,,N,18-Jan-2006
1504,2006,Unprovoked,australia,M,52,3.5 m white shark,N,15-Jan-2006
1505,2006,Invalid,bahamas,M,,Invalid,,11-Jan-2006
1506,2006,Unprovoked,australia,F,21,Bull shark,Y,07-Jan-2006
1507,2006,Unprovoked,usa,M,21,4' shark,N,04-Jan-2006
1508,2006,Unprovoked,south africa,M,49,Said to involve a 1.5 m shark,N,01-Jan-2006
1509,2005,Unprovoked,usa,M,30,White shark,N,24-Dec-2005
1510,2005,Unprovoked,usa,M,29,Tiger shark,N,21-Dec-2005
1511,2005,Boating,atlantic ocean,,,3 m shark,N,20-Dec-2005
1512,2005,Unprovoked,australia,M,44,Whitetip reef shark,N,11-Dec-2005
1513,2005,Boat,australia,,,4 m white shark,N,Reported 06-Dec-2005
1514,2005,Unprovoked,usa,M,teen,,N,Reported 29-Nov-2005
1515,2005,Unprovoked,usa,M,23,4' shark,N,27-Nov-2005
1516,2005,Boat,australia,,,3 m white shark,N,25-Nov-2005
1517,2005,Unprovoked,australia,M,18,1.8 m shark,N,25-Nov-2005
1518,2005,Unprovoked,south africa,M,26,,N,25-Nov-2005
1519,2005,Unprovoked,new caledonia,,,,N,24-Nov-2005-
1520,2005,Unprovoked,usa,M,30s,4' shark,N,21-Nov-2005
1521,2005,Unprovoked,usa,M,17,,N,20-Nov-2005
1522,2005,Boat,new caledonia,,,4.5 m white shark,N,Reported  16-Nov-2005
1523,2005,Provoked,south africa,M,32,"Raggedtooth shark, 2.5m ",N,15-Nov-2005
1524,2005,Unprovoked,usa,M,18,6' shark,N,12-Nov-2005
1525,2005,Unprovoked,usa,M,25,,N,02-Nov-2005
1526,2005,Unprovoked,usa,M,26,12' to 14' white shark,N,02-Nov-2005
1527,2005,Unprovoked,usa,M,15,2' to 3' shark,N,29-Oct-2005
1528,2005,Unprovoked,st. maartin,M,55,2' shark,N,25-Oct-2005
1529,2005,Unprovoked,south africa,M,20,3 m shark,N,22-Oct-2005
1530,2005,Unprovoked,usa,M,36,White shark,N,21-Oct-2005
1531,2005,Unprovoked,usa,F,20,18' white shark,N,19-Oct-2005
1532,2005,Provoked,usa,M,15,,N,15-Oct-2005
1533,2005,Unprovoked,usa,M,22,"Tiger shark, less than 10'",N,13-Oct-2005
1534,2005,Unprovoked,grand cayman,F,57,Caribbean reef sharks,N,11-Oct-2005
1535,2005,Unprovoked,usa,M,48,,N,06-Oct-2005
1536,2005,Unprovoked,bahamas,M,35,,N,03-Oct-2005
1537,2005,Unprovoked,south africa,M,52,White shark,N,01-Oct-2005
1538,2005,Unprovoked,australia,M,28,"Tiger shark, 3 m ",N,Reported      27-Sep-2005
1539,2005,Unprovoked,australia,M,26,14' to 16' white shark,N,24-Sep-2005
1540,2005,Unprovoked,australia,M,44,Bronze whaler shark,N,23-Sep-2005
1541,2005,Invalid,usa,M,,Shark involvement not confirmed,,22-Sep-2005
1542,2005,Unprovoked,usa,F,68,3' to 4' shark,N,20-Sep-2005
1543,2005,Unprovoked,usa,M,18,,Y,11-Sep-2005
1544,2005,Unprovoked,australia,M,15,,N,07-Sep-2005
1545,2005,Unprovoked,usa,F,18,Bull shark,N,05-Sep-2005
1546,2005,Unprovoked,australia,M,40,4 m [13'] white shark,N,04-Sep-2005
1547,2005,Unprovoked,usa,M,62,,N,02-Sep-2005
1548,2005,Provoked,thailand,M,21,"2 m [6.75'] shark, 200-kg shark T",Y,02-Sep-2005
1549,2005,Unprovoked,australia,M,23,White shark,Y,24-Aug-2005
1550,2005,Unprovoked,usa,M,37,juvenile white shark,N,24-Aug-2005
1551,2005,Invalid,usa,M,17,Shark involvement not confirmed,,22-Aug-2005
1552,2005,Unprovoked,usa,M,8,Possibly a sandbar shark or small blacktip shark,N,21-Aug-2005
1553,2005,Unprovoked,usa,M,12,,N,19-Aug-2005
1554,2005,Invalid,south africa,,,Shark involvement prior to death was not confirmed,,14-Aug-2005
1555,2005,Unprovoked,usa,M,16,1.8 m [6'] shark,N,12-Aug-2005
1556,2005,Unprovoked,usa,M,14,,N,6-Aug-2005
1557,2005,Invalid,seychelles,M,,Invalid,,1-Aug-2005
1558,2005,Unprovoked,usa,F,13,,N,27-Jul-2005
1559,2005,Unprovoked,usa,M,61,,N,23-Jul-2005
1560,2005,Invalid,usa,M,25,Shark involvement not confirmed,,22-Jul-2005
1561,2005,Invalid,liberia,M,,Shark involvement prior to death was not confirmed,,17-Jul-2005
1562,2005,Provoked,china,M,24,3.5 m [11.5']shark,N,17-Jul-2005
1563,2005,Invalid,australia,,,No shark involvement,,Reported      15-Jul-2005
1564,2005,Unprovoked,usa,M,22,[4.5' to 5'] shark,N,15-Jul-2005
